--- The following is a list of skipped games ---
'Frankenstein - The Monster Returns', No returned matches
'Flying Warriors', No returned matches
'Friday the 13th', No returned matches
'Fisher Price - Firehouse Rescue', No returned matches
'Fun House', No returned matches
'Freedom Force', No returned matches
'Fisher Price - Perfect Fit', No returned matches
'Fisher Price - I Can Remember', No returned matches
'Flintstones, The - The Surprise at Dinosaur Peak!', No returned matches
'Flintstones, The - The Rescue of Dino & Hoppy', No returned matches
'Final Fantasy', No returned matches
'Final Fantasy II', No returned matches
'Final Fantasy III', No returned matches
'Fire Emblem Gaiden', No returned matches
'Fire Emblem', No returned matches
'Faxanadu (Japan)', No returned matches
'Faxanadu (USA)', No returned matches
'Faxanadu Restoration (NES)', No returned matches
'The Incredible Crash Dummies', No returned matches
'Faxanadu Restoration (FCEU)', No returned matches
'Tiny Toon Adventures 2 - Trouble in Wackyland', No returned matches
'Total Recall', No returned matches
'Treasure Master', No returned matches
'Tiny Toon Adventures Cartoon Workshop', No returned matches
'Tetris 2 + Bombliss', No returned matches
'Tiny Toon Adventures', No returned matches
'Tetris (Japan)', No returned matches
'Tetris 2', No returned matches
'Tetris (USA)', No returned matches
'Tetris Zero', No returned matches
'Top Gun', No returned matches
'Teenage Mutant Ninja Turtles - Tournament Fighters', No returned matches
'Top Gun - The Second Mission', No returned matches
'Teenage Mutant Ninja Turtles II - The Arcade Game', No returned matches
'Rainbow Islands - The Story of Bubble Bobble II', No returned matches
'Teenage Mutant Ninja Turtles', No returned matches
'Teenage Mutant Ninja Turtles III - The Manhattan Project', No returned matches
'Rampage', No returned matches
'Road Runner', No returned matches
'Rampart', No returned matches
'RoboCop', No returned matches
'RoboCop 3', No returned matches
'RoboCop 2', No returned matches
'Rad Racer II', No returned matches
'RoboCop versus The Terminator', No returned matches
'Romance of the Three Kingdoms', No returned matches
'KIRA KIRA Star Night Illustrations', No returned matches
'Romance of the Three Kingdoms II', No returned matches
'Rad Racer', No returned matches
'Kira Kira Star Night DX', No returned matches
'Kira Kira Star Night Gold', No returned matches
'Kira Kira Star Night AC', No returned matches
'KKSN 20120413', No returned matches
'KKSN 20120615', No returned matches
'KKSN 20131113', No returned matches
'KKSN 20120421', No returned matches
'KKSN 20131130 RELEASE asobit city live', No returned matches
'KKSN 20130105', No returned matches
'KKSN 20130811 RELEASE', No returned matches
'KKSN 20140407', No returned matches
'8-BIT Music Power Encore', No returned matches
'KKSN 20131025 RIKI LOGO 2', No returned matches
'KKSN 20131025 RIKI LOGO 1', No returned matches
'8-BIT Music Power Final', No returned matches
'KKSN 20140105 RIKI LOGO 3', No returned matches
'Elevator Action', No returned matches
'8-BIT Music Power', No returned matches
'Excitebike', No returned matches
'Eliminator Boat Duel', No returned matches
'Evert & Lendl Top Player's Tennis', No returned matches
'Empire Strikes Back , The', No returned matches
