--- The following is a list of skipped games ---
'Spirits and Spells', No returned matches
'Splinter Cell 2 - Pandora Tomorrow', No returned matches
'SpongeBob SquarePants & Friends Unite', No returned matches
'Spider-Man 3', No returned matches
'SpongeBob SquarePants - Battle for Bikini Bottom', No returned matches
'Spirit Detective Yu Yu Hakusho', No returned matches
'Splinter Cell', No returned matches
'SpongeBob SquarePants - Lights Camera Action', No returned matches
'SpongeBob SquarePants - Creature from the Krusty Krab', No returned matches
'SpongeBob SquarePants - Creature from the Krusty Krab (E) (M8)', No returned matches
'SpongeBob SquarePants - Super-Sponge', No returned matches
'SpongeBob SquarePants - Revenge of the Flying Dutchman (UE)', No returned matches
'SpongeBob SquarePants - Lights, Camera, Pants! (E) (M7) [b]', No returned matches
'SpongeBob and Friends - Attack of the Toybots', No returned matches
'SpongeBob SquarePants - Revenge of the Flying Dutchman', No returned matches
'Sports Illustrated for Kids - Baseball', No returned matches
'SpongeBob's Atlantis SquarePantis', No returned matches
'Spy Hunter', No returned matches
'SpongeBob SquarePants - SuperSponge (U)', No returned matches
'SpongeBob SquarePants - the Movie', No returned matches
'Spy Kids Challenger', No returned matches
'Sports Illustrated for Kids - Football', No returned matches
'Spy Kids 3D - Game Over', No returned matches
'Spyro - Season of Ice', No returned matches
'Spy Muppets - License to Croak', No returned matches
'Spyro 2 - Season of Flame', No returned matches
'Spyro 3 - Attack of the Rhynocs', No returned matches
'Spyro Orange - the Cortex Conspiracy', No returned matches
'Spyro Fusion', No returned matches
'Spyro - A New Beginning', No returned matches
'Stadium Games', No returned matches
'Star Wars -  Attack of the Clones', No returned matches
'Spyro's Adventures', No returned matches
'Star Wars - Episode 3 - Revenge of the Sith', No returned matches
'Star Wars - Jedi Power Battles', No returned matches
'Spyro - the Eternal Night', No returned matches
'Star Wars - the New Droid  Army', No returned matches
'Star Wars Trilogy - Apprentice of the Force', No returned matches
'Star Wars - Flight of the Falcon', No returned matches
'Star Wars Episode III - Revenge of the Sith', No returned matches
'Starsky and Hutch', No returned matches
'Star X', No returned matches
'Star Wars Episode III - Revenge of the Sith [E]', No returned matches
'Steven Gerrard's Total Soccer 2002', No returned matches
'Strawberry Shortcake - Summertime Adventure', No returned matches
'Strawberry Shortcake - Ice Cream Island Riding Camp', No returned matches
'Strawberry Shortcake - Sweet Dreams', No returned matches
'Steel Empire', No returned matches
'Street Jam Basketball', No returned matches
'Street Racing Syndicate', No returned matches
'Street-Fighter Alpha 3', No returned matches
'Strike Force Hydra', No returned matches
'Street-Fighter 2 - Turbo Revival', No returned matches
'Stunt-Man', No returned matches
'Suite Life of Zack & Cody - Tipton Caper', No returned matches
'Stuart Little 2', No returned matches
'Sum of all Fears', No returned matches
'Super Army War', No returned matches
'Super Duper Sumos', No returned matches
'Summon Night - Swordcraft Story', No returned matches
'Strawberry Shortcake - Summertime Adventure - Special Edition', No returned matches
'Superman - Countdown to Apokolips', No returned matches
