--- The following is a list of skipped games ---
'Final Bubble Bobble (J) [T+Spa100_pkt]', No returned matches
'Fire & Forget 2 (UE) [!]', No returned matches
'Flicky (SG-1000) [b1]', No returned matches
'Flash, The (UE) [!]', No returned matches
'Fri For Fransk! V1.02 by Mark Klemp (PD)', No returned matches
'Fushigi no Oshiro Pit Pot (J) [!]', No returned matches
'Flintstones, The (UE) [!]', No returned matches
'Forgotten Worlds (UE) [!]', No returned matches
'Taz-Mania (UE) [a1][!]', No returned matches
'Taz-Mania (UE) [!]', No returned matches
'Taz-Mania (UE) [T+Por][p1][!]', No returned matches
'Teddy Boy (UE) [!]', No returned matches
'TV Colosso (Brazil)', No returned matches
'Teddy Boy Blues (J) [!]', No returned matches
'Teddy Boy e Geraldinho (Brazil)', No returned matches
'Tennis Ace (UE) [!]', No returned matches
'Tensai Bakabon (J) [!]', No returned matches
'Terminator 2 - Judgment Day (UE) [!]', No returned matches
