--- The following is a list of skipped games ---
'Bubble and Squeek (U) [h3]', No returned matches
'Bubsy (JUE) [!]', No returned matches
'Bubsy (JUE) [h1]', No returned matches
'Bubsy 2 (JUE) [!]', No returned matches
'Buck Rodgers - Countdown to Doomsday (U) [!]', No returned matches
'Buck Rodgers - Countdown to Doomsday (U) [o1].bin', No returned matches
'Buck Rodgers - Countdown to Doomsday (U) [f1]', No returned matches
'Bubba N Stix (EUJ) [t3]', No returned matches
'Budokan - The Martial Spirit (Unl) [h1]', No returned matches
'Budokan - The Martial Spirit (Unl) [c][!]', No returned matches
'Bugs Bunny in Double Trouble (4) [!]', No returned matches
'Bulls vs Blazers and the NBA Playoffs (J) [!]', No returned matches
'Bulls vs Blazers and the NBA Playoffs (UEJ) [!]', No returned matches
'Bulls vs Blazers and the NBA Playoffs (J) [h1]', No returned matches
'Bulls vs Lakers (U) [h1]', No returned matches
'Buck Rodgers - Countdown to Doomsday (U) [o1].smd', No returned matches
'Burning Force (J)', No returned matches
'Burning Force (U) [!]', No returned matches
'Burning Force (U) [h1]', No returned matches
'Bulls vs Lakers (NBA Pro Basketball) (J) [!]', No returned matches
'Bulls vs Lakers (U) [!]', No returned matches
'CDX Pro BIOS V1.8I (Unl)', No returned matches
'Cadash (U) [c][!]', No returned matches
'Caesars Palace (U) [!].bin', No returned matches
'Caesars Palace (U) [!].smd', No returned matches
'Cal Ripken Jr. Baseball (U) [h1]', No returned matches
'Cal Ripken Jr. Baseball (U) [c][!]', No returned matches
'CDX Pro BIOS V1.8I (Unl) [o1]', No returned matches
'Cal Ripken Jr. Baseball (U) [h2]', No returned matches
'Caliber Fifty (J) [b1]', No returned matches
'California Games (U) [!]', No returned matches
'California Games (U) [T-Port_FjM]', No returned matches
'California Games (U) [h1].smd', No returned matches
'California Games (U) [h1].bin', No returned matches
'California Games (U) [p1]', No returned matches
'California Games (U) [p2]', No returned matches
'Cannon Fodder (E) [!]', No returned matches
'Cannon Fodder (E) [b1]', No returned matches
'Cannon Fodder (E) [o1]', No returned matches
'Cannon Fodder (E) [o1][b1]', No returned matches
'Cannon Fodder (E) [o1][h1]', No returned matches
'Caliber Fifty (J) [!]', No returned matches
'Captain America and the Avengers (E)', No returned matches
'Captain America and the Avengers (J) [!]', No returned matches
'Captain America and the Avengers (J) [a1]', No returned matches
'Captain America and the Avengers (J) [a1][b1]', No returned matches
'Captain America and the Avengers (J) [h1]', No returned matches
'Captain Planet and the Planeteers (Dec 1992) (U) [h1]', No returned matches
'Captain Planet and the Planeteers (Dec 1992) (U) [h2]', No returned matches
'Captain Planet and the Planeteers (Dec 1992) (U)', No returned matches
'Captain Planet and the Planeteers (Nov 1992) (U) [R-Eur][!]', No returned matches
'Castlevania - Bloodlines (U) [!].bin', No returned matches
'Castlevania - Bloodlines (U) [!].smd', No returned matches
'Castlevania - Bloodlines (U) [h1]', No returned matches
'Castlevania - The New Generation (E) [a1][h1]', No returned matches
'Castlevania - Bloodlines (U) [h2]', No returned matches
'Castlevania - The New Generation (E) [!]', No returned matches
'Censor 3D Demo (PD)', No returned matches
'Censor Intro (PD)', No returned matches
'Censor Smiley Face Demo (PD)', No returned matches
'Censor Movie Trailer Demo (PD)', No returned matches
'Centurion - Defender of Rome (U) [c][!]', No returned matches
'Centurion - Defender of Rome (U) [b1]', No returned matches
'Centurion - Defender of Rome (U) [o1]', No returned matches
'Chakan - The Forever Man (U) [!].bin', No returned matches
'Capt'n Havoc (E) [!]', No returned matches
'Chakan - The Forever Man (U) [!].smd', No returned matches
'Champions World Class Soccer (JUE) [!]', No returned matches
'Chakan - The Forever Man (U) [b1]', No returned matches
'Champions World Class Soccer (JUE) [b1]', No returned matches
'Champions World Class Soccer (JUE) [h1]', No returned matches
'Champions World Class Soccer (JUE) [h2]', No returned matches
'Championship Bowling (U) [!].bin', No returned matches
'Championship Bowling (U) [!].smd', No returned matches
'Championship Pool (U) [!].bin', No returned matches
'Championship Pro Am (U) [b1]', No returned matches
'Championship Pro Am (U) [c][!]', No returned matches
'Championship Pool (U) [!].smd', No returned matches
'Championship Pro Am (U) [h1]', No returned matches
'Championship Pro Am (U) [h3]', No returned matches
'Chaos Engine 2, The (E) [a1]', No returned matches
'Chaos Engine 2, The (E) [h1]', No returned matches
'Champions World Class Soccer (JUE) [o1]', No returned matches
'Chaos Engine 2, The (E) [x]', No returned matches
'Chaos Engine, The (E) [!]', No returned matches
'Championship Pro Am (U) [h2]', No returned matches
'Chaos Engine, The (E) [o1]', No returned matches
'Chaos Engine, The (E) [o1][b1]', No returned matches
'Chase HQ 2 (JUE) [!].bin', No returned matches
'Chavez 2 (U)', No returned matches
'Chase HQ 2 (JUE) [!].smd', No returned matches
'Chelnov (J)', No returned matches
'Chester Cheetah (U) [c][!]', No returned matches
'Chester Cheetah 2 - Wild Wild Quest (U) [h1]', No returned matches
'Chester Cheetah 2 - Wild Wild Quest (U) [!]', No returned matches
'Chi Chi's Pro Challenge (U) [b1]', No returned matches
'Chi Chi's Pro Challenge (U) [!]', No returned matches
'Chi Chi's Pro Challenge (U) [h1]', No returned matches
'Chibi Maruko Chan Wakuwaku Shopping (J) [b1]', No returned matches
'Chavez 2 (U) [h1]', No returned matches
'Chibi Maruko Chan Wakuwaku Shopping (J) [x]', No returned matches
'Chi Chi's Pro Challenge (U) [b2]', No returned matches
'Chiki Chiki Boys (J)', No returned matches
'Chiki Chiki Boys (U) [!]', No returned matches
'Chou Yakkyou Miracle Nine (1) [!]', No returned matches
'Chuck Rock (U) [c][!]', No returned matches
'Chuck Rock (U) [h1]', No returned matches
'Chuck Rock (U) [t2]', No returned matches
'Chuck Rock (U) [t1]', No returned matches
'Chuck Rock 2 (E) [c][!]', No returned matches
'Chuck Rock 2 (J)', No returned matches
'Chuck Rock 2 (beta) [h1]', No returned matches
'Chuck Rock 2 (beta) [h2].bin', No returned matches
'Chuck Rock 2 (beta) [h2].smd', No returned matches
'Chinese Chess (Chinese)', No returned matches
'Chuck Rock 2 (U) [!]', No returned matches
'Chuck Rock 2 (beta) [h3].bin', No returned matches
