--- The following is a list of skipped games ---
'dbldyn', No returned matches
'dblplay', No returned matches
'dbreed', No returned matches
'dcon', No returned matches
'ddayc', No returned matches
'ddonpach', No returned matches
'ddrago3b', No returned matches
'ddragon', No returned matches
'ddragon3', No returned matches
'ddragonb', No returned matches
'ddragonu', No returned matches
'ddribble', No returned matches
'dduxbl', No returned matches
'deadconj', No returned matches
'deadconx', No returned matches
'deadeye', No returned matches
'defence', No returned matches
'defendg', No returned matches
'defendw', No returned matches
'demon', No returned matches
'demonwld', No returned matches
'desertgu', No returned matches
'destderm', No returned matches
'detatwin', No returned matches
'devilfsg', No returned matches
'devilfsh', No returned matches
'devilw', No returned matches
'devstor2', No returned matches
'devstor3', No returned matches
'devzone', No returned matches
'dfeveron', No returned matches
'digdug2a', No returned matches
'digdugb', No returned matches
'digger', No returned matches
'dino', No returned matches
'dinoj', No returned matches
'dinorex', No returned matches
'dinorexj', No returned matches
'dinorexu', No returned matches
'disco', No returned matches
'dkgenm72', No returned matches
'dkgensan', No returned matches
'dkong3j', No returned matches
'dkongjpo', No returned matches
'docastle', No returned matches
'dogfight', No returned matches
'dogosoke', No returned matches
'dogpatch', No returned matches
'dogyuun', No returned matches
'dokaben', No returned matches
'dominos', No returned matches
'dondokod', No returned matches
'donpachi', No returned matches
'dorunru2', No returned matches
'dorunruc', No returned matches
'dotriku2', No returned matches
'dotrikun', No returned matches
'dotrone', No returned matches
'downtown', No returned matches
'dplay', No returned matches
'dremshpr', No returned matches
'drgnbstr', No returned matches
'drgninja', No returned matches
'drgnunit', No returned matches
'driftout', No returned matches
'driveout', No returned matches
'drtoppel', No returned matches
'dsaber', No returned matches
'dsaberj', No returned matches
'dsoccr94', No returned matches
'dspirit', No returned matches
'dspirito', No returned matches
'dumpmtmt', No returned matches
'dyger', No returned matches
'dygera', No returned matches
'dynablsb', No returned matches
'dynduke', No returned matches
'dzigzag', No returned matches
'DOTRON', No returned matches
'DOWILD', No returned matches
'ZAXXON', No returned matches
'ZIGZAG', No returned matches
'ZEKTOR', No returned matches
'ZZYZZYXX', No returned matches
'ZZZAP', No returned matches
'ZOOKEEP', No returned matches
'ZOAR', No returned matches
'zaxxon2', No returned matches
'zarzon', No returned matches
'zaxxonb', No returned matches
'zigzag2', No returned matches
'zerotime', No returned matches
'zerowing', No returned matches
'zingzip', No returned matches
'zookeep3', No returned matches
'zookeep2', No returned matches
'zodiack', No returned matches
'zunkyou', No returned matches
'zzyzzyx2', No returned matches
'zwackery', No returned matches
'SAFARI', No returned matches
'ZEROZONE', No returned matches
'SATANSAT', No returned matches
'SARGE', No returned matches
'SATNHOLW', No returned matches
'SBASKETB', No returned matches
'SAVGBEES', No returned matches
'SCOBRAB', No returned matches
'SCOBRA', No returned matches
'SASUKE', No returned matches
'SCOBRAK', No returned matches
'SCION', No returned matches
'SEAWOLF2', No returned matches
'SDI', No returned matches
'SFEVERBW', No returned matches
'SCRAMBLE', No returned matches
'SHAOLINS', No returned matches
'SHOLLOW', No returned matches
'SFPOSEID', No returned matches
'SIDETRAC', No returned matches
'SHINOBI', No returned matches
'SILVLAND', No returned matches
'SIDEARJP', No returned matches
'SNAPJACK', No returned matches
'SINISTAR', No returned matches
'SHOOTOUT', No returned matches
'SPACDUEL', No returned matches
'SILKWORM', No returned matches
'SPACEATT', No returned matches
'SPACEFB', No returned matches
'SPACEFEV', No returned matches
'SOLARFOX', No returned matches
'SPACED', No returned matches
'SOLOMON', No returned matches
'SPACEPH', No returned matches
'SPACETRK', No returned matches
'SPACEOD', No returned matches
'SPACESKR', No returned matches
'SPACEZAP', No returned matches
'SPCENCTR', No returned matches
'SPACEPLT', No returned matches
'SPACFURC', No returned matches
'SPIDERS', No returned matches
'SPLAT', No returned matches
'SPTREKCT', No returned matches
'SPIERO', No returned matches
'SPECTAR', No returned matches
'SPYHUNT', No returned matches
'SQIXBL', No returned matches
'SSI', No returned matches
'STARFIRE', No returned matches
'STACTICS', No returned matches
'SSPACEAT', No returned matches
'STARTREK', No returned matches
'STARWARS', No returned matches
'STINGER', No returned matches
'STRATGYB', No returned matches
'STRATVOX', No returned matches
'STARGATE', No returned matches
'STRATGYX', No returned matches
'STRIDER', No returned matches
'SUPERGAL', No returned matches
'SSIDEK4', No returned matches
'SUPERG', No returned matches
'SUPERBON', No returned matches
'SUPERPAC', No returned matches
'SUPERPCN', No returned matches
'SUPRMATK', No returned matches
'SWIMMERA', No returned matches
'SUTAPPER', No returned matches
'SUPERMAN', No returned matches
'Spacfura', No returned matches
'Spacfury', No returned matches
'sabotenb', No returned matches
'safarir', No returned matches
'salamand', No returned matches
'samesame', No returned matches
