--- The following is a list of skipped games ---
'Roland Garros French Open', No returned matches
'Robin Hood', No returned matches
'Roswell Conspiracies', No returned matches
'Ronaldo V-Soccer', No returned matches
'Rayman I', No returned matches
'Rampage II - Universal Tour', No returned matches
'Rampage I - World Tour', No returned matches
'Rayman II - The Great Escape', No returned matches
'Rox', No returned matches
'Rugrats - Time Travelers', No returned matches
'Rugrats in Paris - The Movie', No returned matches
'Rugrats Movie', No returned matches
'Rugrats - Totally Angelica', No returned matches
'ECW Hardcore Revolution', No returned matches
'ESPN National Hockey Night', No returned matches
'ET and the Cosmic Garden', No returned matches
'ET - Escape From Planet Earth', No returned matches
'ET - Digital Companion', No returned matches
'Earthworm Jim - Menace 2 Galaxy', No returned matches
'ESPN International Track & Field', No returned matches
'Elmo's 123s', No returned matches
'Elevator Action EX', No returned matches
'European Super League', No returned matches
'Elmo's ABCs', No returned matches
'Extreme Ghostbusters', No returned matches
'Extreme Sports -Berenstein Bears', No returned matches
'Elmo in Grouchland', No returned matches
'Evel Knievel', No returned matches
'10-Pin Bowling', No returned matches
'3D Pocket Pool', No returned matches
'3D Ultra Pinball - Thrillride', No returned matches
'UNO', No returned matches
'007 - The World is Not Enough', No returned matches
'1942', No returned matches
'720 Degrees', No returned matches
'Ultimate Paintball', No returned matches
'Galaga - Destination Earth', No returned matches
'Ultimate Fighting Championship', No returned matches
'Ultimate Surfing', No returned matches
'Game & Watch Gallery II', No returned matches
'Game Boy Wars II', No returned matches
'Gex - Enter the Gecko', No returned matches
'Game & Watch Gallery III', No returned matches
'Ghosts 'N Goblins', No returned matches
'Gift', No returned matches
'Gobs of Games', No returned matches
'Gex III - Deep Cover Gecko', No returned matches
'Gold and Glory-Road to El Dorado', No returned matches
'Gremlins Unleashed', No returned matches
'Gen the Carpenter', No returned matches
'Grinch', No returned matches
'Godzilla - The Series', No returned matches
'Godzilla - Monster Wars', No returned matches
'Grand Theft Auto II', No returned matches
'Grand Theft Auto I', No returned matches
'Nations - Land of Legends', No returned matches
'New Advnt of Mary-Kate & Ashley', No returned matches
'New York Race', No returned matches
'NSYNC - Get to the Show', No returned matches
'No Fear - Downhill Mountain Bike', No returned matches
'Noddy and the Birthday Party', No returned matches
'New Addams Family Series', No returned matches
'Nicktoons' Racing', No returned matches
'NFL Blitz 2000', No returned matches
'NFL Blitz 2001', No returned matches
'NBA 3 on 3 feat Kobe Bryant', No returned matches
'NFL Blitz', No returned matches
